Session,Line,wordAx,wordAy,wordBx,wordBy
119,7,439,648,613,686
119,7,635,648,822,683
119,7,252,655,427,691
119,2,103,194,262,227
119,6,220,561,342,597
119,6,373,562,500,595
119,6,534,560,657,592
119,8,645,745,723,792
119,8,550,746,624,780
119,4,347,380,430,410
119,5,144,474,216,505
119,5,345,474,413,505
119,1,201,103,271,131
119,5,255,477,319,503
119,1,140,103,196,131
119,3,313,287,362,317
119,8,441,744,480,781
119,8,481,748,533,775
119,3,109,288,150,318
119,4,120,383,165,410
119,4,291,379,336,406
119,4,235,380,277,408
119,3,164,290,207,317
119,3,264,291,308,317
119,3,363,292,409,316
119,3,218,289,259,315
119,1,107,103,139,133
119,4,183,385,219,408
119,8,740,756,773,772
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
